arabidopsis_thaliana	populus_trichocarpa
AT3G54800	Potri.010G223400
AT2G28320	Potri.009G011200
AT1G54960	Potri.013G022700
AT1G05785	Potri.014G151000
AT3G57490	Potri.016G055000
AT5G52870	Potri.015G027500
AT4G08520	Potri.003G043200
AT5G20560	Potri.010G088500
AT3G57270	Potri.016G057600
AT2G24130	Potri.018G103400
AT5G09320	Potri.019G066200
AT5G14860	Potri.018G009000
AT1G61170	Potri.011G045700
AT5G04330	Potri.009G123600
AT5G26220	Potri.018G002900
AT2G48090	Potri.014G137850
AT3G62710	Potri.008G013700
AT5G20950	Potri.009G153900
AT5G04885	Potri.008G013500
AT3G47050	Potri.009G042800
AT4G30120	Potri.006G076900
AT3G51310	Potri.005G110600
AT1G73160	Potri.011G097000
AT5G25460	Potri.018G031100
AT5G17320	Potri.017G144601
AT4G21750	Potri.011G025000
AT1G78720	Potri.011G114900
AT1G69870	Potri.010G034700
AT5G48655	Potri.014G191400
AT5G51970	Potri.012G135000
AT1G50420	Potri.009G048700
AT5G44070	Potri.014G195900
AT5G18380	Potri.010G091000
AT1G29960	Potri.007G071400
AT5G49960	Potri.004G223400
AT5G54930	Potri.011G138700
AT3G24150	Potri.018G128700
AT4G32295	Potri.018G027100
AT5G65660	Potri.019G055500
AT5G11412	Potri.015G005500
AT5G27360	Potri.013G027800
AT2G48020	Potri.014G136600
AT5G18840	Potri.010G026500
AT4G04760	Potri.005G040000
AT4G16144	Potri.010G141100
AT3G09450	Potri.006G082000
AT4G36380	Potri.007G018400
AT1G80820	Potri.003G181400
AT4G17330	Potri.003G077600
AT2G15695	Potri.009G103500
AT5G62130	Potri.015G136600
AT3G48090	Potri.015G069600
AT5G50630	Potri.012G098900
AT4G23790	Potri.003G137800
AT4G36610	Potri.007G024400
AT5G01090	Potri.016G107200
AT3G13620	Potri.001G007300
AT3G15760	Potri.001G192800
AT5G51920	Potri.015G137900
AT4G22980	Potri.003G120500
AT1G74990	Potri.014G040400
AT2G23780	Potri.007G031600
AT2G38510	Potri.016G134800
AT5G50300	Potri.015G090000
AT4G13780	Potri.017G057700
AT4G35260	Potri.009G165200
AT4G35650	Potri.007G064000
AT5G16760	Potri.019G047200
AT4G36910	Potri.007G046400
AT4G34120	Potri.009G099200
AT1G80100	Potri.003G032400
AT3G16360	Potri.001G189900
AT3G21510	Potri.010G027100
AT5G39340	Potri.016G113500
AT1G34430	Potri.019G084900
AT1G22450	Potri.005G162100
AT2G44970	Potri.014G055900
AT3G07690	Potri.003G203800
AT2G41540	Potri.016G043400
AT5G06570	Potri.016G065000
ATCG00170	Potri.013G140260
AT3G44326	Potri.009G160700
AT2G36090	Potri.006G208400
AT4G33910	Potri.009G091000
AT5G19560	Potri.018G082400
AT5G47490	Potri.003G077100
AT3G05180	Potri.013G026300
AT4G14440	Potri.010G073700
AT1G65520	Potri.008G052801
AT4G01500	Potri.014G107200
AT2G03410	Potri.014G162100
AT2G05790	Potri.014G158400
AT5G55180	Potri.011G094400
AT2G15440	Potri.009G098800
AT5G67210	Potri.007G047000
AT5G56150	Potri.019G083800
AT5G41700	Potri.019G131400
AT3G20060	Potri.010G220600
AT3G20860	Potri.003G205400
AT3G12200	Potri.016G051900
AT1G52220	Potri.003G052200
AT3G57930	Potri.T085200
AT5G18820	Potri.015G123600
AT5G13920	Potri.T125604
AT4G31580	Potri.019G050600
AT2G48060	Potri.014G137200
AT4G37040	Potri.005G137400
AT1G68090	Potri.015G107600
AT5G27990	Potri.013G035000
AT1G08570	Potri.019G031900
AT1G05280	Potri.017G039600
AT4G15240	Potri.017G039500
AT5G63870	Potri.011G145300
AT5G40010	Potri.019G020800
AT5G57480	Potri.018G093600
AT5G17010	Potri.019G055600
AT1G71260	Potri.003G048700
AT5G63560	Potri.017G068500
AT4G03020	Potri.014G136000
AT2G27180	Potri.009G151600
AT3G51740	Potri.016G126300
AT3G15590	Potri.016G036100
AT3G60340	Potri.002G137200
AT5G52020	Potri.015G136300
AT5G03990	Potri.016G042400
AT3G08550	Potri.003G202900
AT5G11650	Potri.018G045800
AT4G21970	Potri.011G004100
AT5G43530	Potri.003G083400
AT5G22750	Potri.004G189400
AT5G18490	Potri.013G048300
AT5G53940	Potri.011G115700
AT4G27740	Potri.015G009100
AT4G27745	Potri.015G009200
AT5G58530	Potri.009G075600
AT1G68790	Potri.017G111400
AT2G47270	Potri.014G118300
AT5G14320	Potri.005G172600
AT4G10955	Potri.003G141100
AT3G19640	Potri.009G086300
AT3G02875	Potri.006G207400
AT1G44350	Potri.005G178900
AT2G25735	Potri.018G036300
AT3G56580	Potri.016G029300
AT5G65480	Potri.002G106300
AT4G14723	Potri.010G082200
AT1G54360	Potri.014G161100
AT5G64850	Potri.007G080800
AT5G41790	Potri.003G137400
AT5G41780	Potri.003G137300
AT1G73170	Potri.001G375900
AT3G15350	Potri.011G119600
AT3G10620	Potri.010G242100
AT5G06340	Potri.016G070900
AT5G43780	Potri.010G081200
AT3G51450	Potri.005G099400
AT5G59710	Potri.017G065900
AT3G21360	Potri.001G190100
AT4G24120	Potri.001G084400
AT4G03010	Potri.014G136100
AT2G33700	Potri.005G253700
AT3G51470	Potri.007G058700
AT2G34690	Potri.016G055300
AT4G39670	Potri.008G119600
AT5G05850	Potri.015G083800
AT5G62250	Potri.014G070100
AT5G21010	Potri.019G039500
AT5G23160	Potri.019G119000
AT3G57040	Potri.016G038000
AT1G49800	Potri.009G095600
AT4G37290	Potri.007G049400
AT5G57870	Potri.018G104100
AT1G72660	Potri.001G170300
AT2G33990	Potri.011G063200
AT5G41315	Potri.014G083900
AT2G33600	Potri.005G257700
AT5G61280	Potri.015G049700
AT1G69325	Potri.010G160900
AT4G09320	Potri.014G049900
AT5G15090	Potri.017G078200
AT4G15000	Potri.016G019000
AT2G18940	Potri.006G166200
AT5G02860	Potri.009G092100
AT1G61065	Potri.004G038700
AT3G56340	Potri.019G057000
AT5G43930	Potri.014G193900
AT1G75270	Potri.008G049300
AT4G34940	Potri.009G131900
AT4G36730	Potri.007G029400
AT3G10650	Potri.010G244700
AT3G03570	Potri.013G073200
AT5G59950	Potri.001G236900
AT5G02530	Potri.016G093944
AT4G35550	Potri.005G252800
AT5G57260	Potri.008G184900
AT5G50070	Potri.013G013300
AT1G06330	Potri.019G107500
AT3G56891	Potri.018G150200
AT1G27600	Potri.002G107300
AT1G44820	Potri.002G085500
AT5G11770	Potri.006G231701
AT5G49690	Potri.003G184400
AT5G65550	Potri.010G182650
ATCG00150	Potri.013G139080
AT4G35040	Potri.009G134900
AT2G27600	Potri.009G144300
AT5G66550	Potri.007G025000
AT1G07110	Potri.009G073800
AT5G19440	Potri.009G052000
AT3G28430	Potri.018G140800
AT3G01610	Potri.013G151600
AT1G70620	Potri.010G046000
AT1G31730	Potri.004G235200
AT2G46320	Potri.002G167700
AT4G36850	Potri.016G023400
AT4G17770	Potri.003G094500
AT1G70290	Potri.015G074000
AT2G18700	Potri.018G097700
AT1G68020	Potri.010G104500
AT1G14310	Potri.010G093900
AT3G15710	Potri.018G005800
AT5G12280	Potri.007G070700
AT3G58580	Potri.016G061700
AT3G52960	Potri.013G102100
AT5G47910	Potri.003G159800
AT1G09090	Potri.005G026200
AT5G60010	Potri.016G112200
AT5G54130	Potri.015G004200
AT1G25580	Potri.010G129700
AT3G60380	Potri.014G045300
AT5G15570	Potri.017G094900
AT4G36580	Potri.007G023900
AT5G23510	Potri.004G133700
AT3G27870	Potri.001G349100
AT3G25610	Potri.012G058000
AT5G45490	Potri.013G056000
AT5G57240	Potri.018G143600
AT3G13445	Potri.019G033300
AT1G55270	Potri.003G217700
AT1G73710	Potri.013G144800
AT5G55630	Potri.016G007200
AT1G73830	Potri.015G046300
AT4G24230	Potri.014G018700
AT5G50760	Potri.012G102700
AT3G21310	Potri.001G195900
AT3G05260	Potri.019G023900
AT5G52650	Potri.017G146700
AT2G23320	Potri.007G047400
AT4G24240	Potri.014G024200
AT4G21960	Potri.004G015300
AT2G37130	Potri.006G129900
AT1G13250	Potri.010G129400
AT1G70090	Potri.010G038300
AT1G19300	Potri.014G040300
AT5G38400	Potri.004G099900
AT5G38120	Potri.005G248500
AT5G47077	Potri.016G061600
AT5G16210	Potri.004G095900
AT3G25870	Potri.010G126000
AT5G58630	Potri.016G117400
AT5G09630	Potri.015G128600
AT5G20045	Potri.009G093700
AT4G23950	Potri.019G068900
AT5G04320	Potri.010G229100
AT1G54690	Potri.013G028900
AT5G27670	Potri.013G018200
AT2G30720	Potri.017G009800
AT5G48370	Potri.014G174800
AT1G16180	Potri.003G186500
AT3G06170	Potri.008G201900
AT4G27430	Potri.011G122900
AT3G57980	Potri.T042048
AT3G60110	Potri.001G229300
AT5G26594	Potri.019G025000
AT1G73150	Potri.011G096400
AT1G06230	Potri.019G090700
AT1G55175	Potri.017G069220
AT1G75710	Potri.005G238300
AT5G66720	Potri.007G028900
AT5G58340	Potri.013G154500
AT3G44240	Potri.018G038700
AT1G15920	Potri.006G187200
AT4G38100	Potri.005G147801
AT1G13610	Potri.010G136900
AT3G30380	Potri.017G102500
AT2G46220	Potri.014G092200
AT5G66010	Potri.005G101200
AT3G20890	Potri.009G053200
AT4G21880	Potri.011G133100
AT3G24450	Potri.018G076400
AT5G07010	Potri.003G193500
AT1G58210	Potri.017G036100
AT4G36060	Potri.009G129600
AT4G30470	Potri.018G100500
AT3G53020	Potri.015G141900
AT5G52040	Potri.015G135800
AT5G19090	Potri.008G202800
AT5G02390	Potri.016G095500
AT1G07620	Potri.009G030700
AT3G04240	Potri.019G025600
AT4G21580	Potri.004G036100
AT3G53510	Potri.014G080200
AT2G26280	Potri.018G047700
AT1G13340	Potri.010G127000
AT5G67280	Potri.007G048800
AT4G34220	Potri.001G300700
AT3G11880	Potri.010G110500
AT5G67510	Potri.007G085200
AT5G54300	Potri.011G126900
AT1G61260	Potri.011G044000
AT2G02970	Potri.010G169100
AT1G56700	Potri.013G005100
AT5G26200	Potri.018G050300
AT5G03170	Potri.016G088700
AT5G44130	Potri.019G093300
AT4G37860	Potri.001G257300
AT2G03060	Potri.010G167300
AT5G51730	Potri.007G071100
AT1G72790	Potri.001G198900
AT4G34570	Potri.009G119200
AT3G57000	Potri.016G037500
AT4G00755	Potri.014G076300
AT2G02730	Potri.010G092700
AT2G36530	Potri.015G131100
AT3G24535	Potri.018G080001
AT5G08580	Potri.007G076300
AT4G27790	Potri.015G010300
AT3G48880	Potri.015G139700
AT1G23850	Potri.006G262900
AT3G63070	Potri.014G138700
AT5G65650	Potri.007G027700
AT5G60050	Potri.001G233900
AT1G20160	Potri.005G243000
AT4G26330	Potri.001G002200
AT1G47271	Potri.005G228300
AT2G27860	Potri.009G150600
AT2G31730	Potri.019G112000
AT2G34355	Potri.015G067000
AT5G39380	Potri.017G090200
AT5G58430	Potri.019G124000
AT4G22740	Potri.003G115400
AT2G45380	Potri.014G069100
AT1G70230	Potri.010G095700
AT1G76380	Potri.009G167500
AT2G26550	Potri.014G034200
AT4G34260	Potri.009G093900
AT3G61700	Potri.014G097800
AT1G16720	Potri.014G000400
AT5G51740	Potri.012G131100
AT1G54940	Potri.013G022900
AT2G40180	Potri.010G187000
AT4G08260	Potri.009G073000
AT5G55210	Potri.001G356400
AT3G18660	Potri.007G107200
AT3G02070	Potri.014G140200
AT3G22260	Potri.016G019700
AT4G34020	Potri.009G100900
AT3G02100	Potri.004G119700
AT1G26560	Potri.010G159900
AT5G54570	Potri.001G409900
AT4G21760	Potri.004G019800
AT3G18080	Potri.015G041300
AT5G28510	Potri.005G059500
AT1G58220	Potri.002G106500
AT3G52490	Potri.016G071800
AT3G60780	Potri.014G068900
AT3G58170	Potri.005G221600
AT5G61510	Potri.004G233800
AT4G38062	Potri.011G131500
AT1G79550	Potri.010G171600
AT1G75370	Potri.010G019550
AT4G39180	Potri.009G119400
AT5G11260	Potri.018G029500
AT5G18560	Potri.008G215600
AT5G13910	Potri.003G077700
AT5G10990	Potri.005G237000
AT5G11870	Potri.006G228700
AT2G36810	Potri.006G120800
AT2G04650	Potri.015G070500
AT5G18910	Potri.010G027301
AT5G65530	Potri.007G011700
AT3G04530	Potri.019G018100
AT4G16447	Potri.016G009200
AT5G20920	Potri.019G131200
AT1G03950	Potri.005G227000
AT2G23680	Potri.009G109800
AT2G28490	Potri.009G054700
AT5G65920	Potri.014G014300
AT1G61667	Potri.011G032600
AT1G10700	Potri.010G045000
AT1G29370	Potri.011G078800
AT5G24360	Potri.005G254000
AT3G19090	Potri.009G106500
AT2G43970	Potri.017G007400
AT5G59820	Potri.010G209400
AT5G52570	Potri.017G145700
AT2G11910	Potri.018G024000
AT3G56200	Potri.010G181800
AT5G61170	Potri.017G092200
AT5G08415	Potri.019G102700
AT3G15800	Potri.003G032600
AT3G25530	Potri.014G197900
AT5G65790	Potri.007G007900
AT1G62790	Potri.003G113900
AT2G47420	Potri.014G121200
AT5G66360	Potri.018G018900
AT5G17350	Potri.017G121200
AT5G56170	Potri.011G168500
AT3G43240	Potri.018G064500
AT1G01250	Potri.019G067400
AT4G16750	Potri.003G079300
AT3G16280	Potri.003G050700
AT1G77200	Potri.018G085700
AT3G22620	Potri.010G085200
AT2G48140	Potri.005G212000
AT1G69380	Potri.010G162500
AT5G13610	Potri.010G216300
AT1G33420	Potri.T045600
AT4G03320	Potri.019G108800
AT3G63130	Potri.005G209600
AT1G67800	Potri.015G086200
AT2G37200	Potri.016G090100
AT2G28370	Potri.009G014600
AT5G56860	Potri.018G053600
AT5G14090	Potri.003G168700
AT4G17070	Potri.014G051300
AT1G77360	Potri.005G181900
AT3G59600	Potri.013G120500
AT4G15093	Potri.T045400
AT1G73660	Potri.015G040100
AT3G23750	Potri.018G141000
AT1G66150	Potri.017G134900
AT1G65440	Potri.016G029200
AT4G14690	Potri.008G157900
AT4G14770	Potri.013G038301
AT5G02450	Potri.015G145800
AT5G64310	Potri.017G050300
AT5G64530	Potri.007G105000
AT1G63480	Potri.003G126500
AT5G02970	Potri.016G086200
AT5G24170	Potri.015G017300
AT5G04660	Potri.008G025500
AT4G24550	Potri.002G105100
AT5G53710	Potri.016G079700
AT4G04885	Potri.011G024800
AT4G35985	Potri.005G111600
AT4G16162	Potri.T013522
AT1G29740	Potri.011G075400
AT1G29750	Potri.011G072566
AT1G53420	Potri.011G073591
AT3G55740	Potri.010G194600
AT5G58480	Potri.016G002800
AT3G12360	Potri.010G212700
AT2G48010	Potri.014G136466
AT1G16540	Potri.007G066400
AT5G16530	Potri.019G052800
AT5G42150	Potri.015G038300
AT4G14368	Potri.008G167500
AT1G65920	Potri.017G139600
AT3G46870	Potri.009G038200
AT1G74960	Potri.018G062900
AT2G36840	Potri.011G154600
AT3G09010	Potri.016G114800
AT1G16670	Potri.011G142100
AT4G35070	Potri.009G135400
AT2G01930	Potri.015G032900
AT3G51780	Potri.016G121200
AT5G19070	Potri.010G030800
AT1G30690	Potri.001G461400
AT1G69330	Potri.010G161100
AT1G74370	Potri.012G067200
AT5G14900	Potri.014G117900
AT3G59030	Potri.005G207600
AT3G16080	Potri.003G053100
AT2G17200	Potri.009G166000
AT5G62090	Potri.015G138500
AT5G26830	Potri.010G096550
AT5G35730	Potri.017G039000
AT1G51200	Potri.003G205500
AT3G52800	Potri.009G144100
AT4G22820	Potri.003G117100
AT3G02920	Potri.018G091700
AT2G24490	Potri.006G275700
AT5G18240	Potri.019G032700
AT5G26980	Potri.013G011100
AT4G02195	Potri.002G200400
AT3G24605	Potri.006G160100
AT5G54770	Potri.011G134900
AT2G23820	Potri.010G133101
AT5G41590	Potri.016G143000
AT5G11720	Potri.011G154500
AT4G32330	Potri.018G027500
AT2G31200	Potri.005G223800
AT4G34970	Potri.009G133100
AT3G19970	Potri.007G075400
AT2G18245	Potri.007G023000
AT1G07290	Potri.009G044000
AT2G47580	Potri.014G127800
AT5G10130	Potri.007G090100
AT5G43130	Potri.014G018000
AT5G55310	Potri.011G092700
AT3G57470	Potri.006G050700
AT2G01170	Potri.010G119100
AT1G22040	Potri.005G170000
AT2G27830	Potri.009G149200
AT5G46550	Potri.011G077100
AT2G36480	Potri.006G115600
AT2G46830	Potri.014G106800
AT1G67830	Potri.010G047900
AT5G14450	Potri.001G342600
AT1G32900	Potri.011G152200
AT3G49660	Potri.007G009500
AT4G08510	Potri.005G172100
AT1G73770	Potri.012G046000
AT5G66950	Potri.007G036100
AT3G16920	Potri.014G146600
AT1G43670	Potri.005G191400
AT5G37190	Potri.010G052200
AT1G10610	Potri.010G041500
AT2G19880	Potri.018G087700
AT1G76070	Potri.005G245600
AT4G38630	Potri.009G133000
AT3G21160	Potri.018G141100
AT5G60920	Potri.015G060000
AT3G29810	Potri.004G117100
AT4G31540	Potri.018G008400
AT1G51640	Potri.010G250500
AT3G49180	Potri.015G093300
AT4G11150	Potri.016G139800
AT5G06180	Potri.016G075500
AT5G22350	Potri.009G159900
AT5G48610	Potri.017G058701
AT5G18230	Potri.019G032800
AT3G15010	Potri.001G377400
AT4G32060	Potri.018G118116
AT2G20562	Potri.017G015900
AT4G13266	Potri.018G119100
AT4G24830	Potri.010G239000
AT5G03680	Potri.010G235000
AT2G03600	Potri.008G095600
AT2G36670	Potri.016G096700
AT1G05840	Potri.014G146400
AT5G40390	Potri.017G036700
AT4G14570	Potri.008G160400
AT4G23100	Potri.003G126900
AT2G18000	Potri.007G012700
AT5G13120	Potri.003G167700
AT4G24530	Potri.002G105800
AT5G01710	Potri.006G105100
AT5G09280	Potri.003G218200
AT4G31170	Potri.018G001900
AT1G21580	Potri.005G182900
AT4G01120	Potri.014G094200
AT4G34419	Potri.009G102800
AT3G27220	Potri.001G334800
AT1G78890	Potri.010G252800
AT2G19180	Potri.018G142900
AT1G67810	Potri.012G089500
AT5G50210	Potri.015G085300
AT4G24020	Potri.003G143000
AT1G54520	Potri.013G036201
AT1G77840	Potri.017G122200
AT2G02820	Potri.010G093000
AT5G26150	Potri.018G061600
AT1G72760	Potri.004G170943
AT4G31230	Potri.018G002400
AT5G20310	Potri.018G147200
AT3G20200	Potri.014G001700
AT5G58190	Potri.018G149800
AT4G37630	Potri.014G016700
AT3G17430	Potri.010G001700
AT5G64640	Potri.007G107300
AT5G02080	Potri.005G170600
AT3G25690	Potri.010G130800
AT3G56190	Potri.016G129900
AT5G12120	Potri.009G021900
AT1G03230	Potri.008G203200
AT3G52270	Potri.010G219800
AT5G45410	Potri.010G219900
AT3G18130	Potri.015G041600
AT4G18020	Potri.003G087700
AT1G15000	Potri.008G129850
AT3G11530	Potri.006G209100
AT1G32410	Potri.003G087500
AT1G80690	Potri.003G180400
AT5G25170	Potri.018G021700
AT5G65460	Potri.007G010700
AT4G18950	Potri.004G064400
AT5G53570	Potri.015G007400
AT3G26380	Potri.010G048400
AT4G00350	Potri.002G161200
AT4G08980	Potri.002G099100
AT5G23680	Potri.015G104000
AT4G14660	Potri.010G077300
AT4G14520	Potri.010G077200
AT5G02050	Potri.016G102200
AT1G02260	Potri.017G141800
AT5G65290	Potri.007G096900
AT1G04260	Potri.010G077700
AT5G05380	Potri.010G183300
AT5G07110	Potri.019G124100
AT1G08770	Potri.005G219100
AT5G56230	Potri.001G472300
AT5G05140	Potri.016G033300
AT3G21530	Potri.008G198100
AT3G59290	Potri.014G151300
AT5G20820	Potri.006G137000
AT5G18210	Potri.019G033600
AT4G37120	Potri.015G048200
AT5G40930	Potri.003G173400
AT5G38780	Potri.017G123000
AT1G68040	Potri.019G016112
AT5G06130	Potri.006G210500
AT5G63280	Potri.015G090300
AT5G03300	Potri.010G224300
AT3G60510	Potri.014G057400
AT4G31810	Potri.018G018800
AT2G43280	Potri.017G029400
AT4G33230	Potri.018G051200
AT5G20860	Potri.006G135100
AT5G04960	Potri.010G247600
AT5G04970	Potri.010G247700
AT2G26440	Potri.006G134600
AT5G53370	Potri.015G013700
AT5G51500	Potri.015G127800
AT1G23200	Potri.010G109400
AT3G59010	Potri.014G149700
AT3G18430	Potri.003G030300
AT5G62910	Potri.015G069400
AT3G20300	Potri.001G356200
AT2G15790	Potri.009G106200
AT3G49155	Potri.003G139800
AT2G20190	Potri.002G253200
AT1G01490	Potri.017G147500
AT3G54020	Potri.016G105700
AT5G06120	Potri.003G189500
AT2G35795	Potri.008G043500
AT2G37150	Potri.010G220700
AT5G01720	Potri.019G123400
AT5G01780	Potri.016G132300
AT4G08330	Potri.005G178000
AT3G15910	Potri.011G004800
AT4G02610	Potri.005G217700
AT3G07360	Potri.019G029500
AT3G56930	Potri.016G025100
AT5G05070	Potri.016G025200
AT4G03410	Potri.019G103200
AT5G11480	Potri.018G037000
AT1G58520	Potri.002G113800
AT5G35680	Potri.002G031700
AT5G27210	Potri.013G031200
AT1G17620	Potri.003G039400
AT5G11890	Potri.018G052500
AT5G58375	Potri.019G127900
AT1G12060	Potri.016G014900
AT4G26300	Potri.002G198500
AT3G51800	Potri.016G119700
AT5G39220	Potri.017G093500
AT3G16500	Potri.018G057000
AT5G28030	Potri.013G035200
AT3G03630	Potri.019G045800
AT1G04850	Potri.017G056900
AT1G76410	Potri.005G255200
AT4G35480	Potri.007G064401
AT3G61920	Potri.014G104900
ATMG01270	Potri.007G061841
AT4G36090	Potri.007G012200
AT1G69420	Potri.010G163200
AT5G41330	Potri.016G112900
AT1G77250	Potri.005G183700
AT2G42170	Potri.006G139900
AT5G09810	Potri.019G010400
AT2G04030	Potri.010G136800
AT3G23710	Potri.002G236000
AT4G33350	Potri.014G030000
AT5G59800	Potri.009G027600
AT5G59380	Potri.009G031100
AT3G08710	Potri.016G138800
AT3G56420	Potri.019G062000
AT5G60460	Potri.014G059000
AT3G02570	Potri.017G115500
AT4G34230	Potri.009G095800
AT4G37850	Potri.007G009400
AT2G22770	Potri.005G095250
AT2G47430	Potri.013G009700
AT5G15940	Potri.001G453500
AT2G28290	Potri.010G019150
AT5G65750	Potri.010G209000
AT5G67200	Potri.007G046900
AT3G49400	Potri.012G021900
AT4G37110	Potri.009G108400
AT4G28815	Potri.002G252800
AT4G24380	Potri.002G102500
AT5G52400	Potri.015G145100
AT5G61010	Potri.015G058200
AT5G13960	Potri.014G143900
AT5G60510	Potri.005G100800
AT4G39540	Potri.007G081000
AT1G01630	Potri.017G063966
AT4G30230	Potri.018G092800
AT2G39510	Potri.010G209200
AT4G08290	Potri.005G176100
AT2G37460	Potri.006G082700
AT1G09620	Potri.004G226700
AT5G56480	Potri.009G049300
AT3G25730	Potri.010G129200
AT5G01530	Potri.016G115200
AT4G37235	Potri.009G110200
AT4G36750	Potri.007G029600
AT2G25737	Potri.018G037400
AT5G66170	Potri.014G131300
AT4G31490	Potri.018G007400
AT1G76980	Potri.005G185200
AT2G27950	Potri.009G003500
AT2G17036	Potri.009G140000
AT1G05670	Potri.010G035700
AT2G13370	Potri.009G047800
AT2G01450	Potri.010G112200
AT3G14720	Potri.011G102500
AT4G17030	Potri.003G083200
AT5G63390	Potri.015G092600
AT5G54090	Potri.012G005000
AT5G59760	Potri.018G024900
AT3G59820	Potri.007G142000
AT1G43190	Potri.005G194700
AT2G33840	Potri.010G248900
AT2G28120	Potri.009G006400
AT3G21480	Potri.002G214050
AT4G03130	Potri.014G135520
AT4G29840	Potri.003G033200
AT2G39340	Potri.010G213700
AT5G53210	Potri.015G022300
AT5G63260	Potri.018G108850
AT5G06460	Potri.009G075800
AT5G41730	Potri.003G137000
AT1G01450	Potri.014G095200
AT3G20760	Potri.T028032
AT3G05990	Potri.010G090800
AT5G43380	Potri.008G166300
AT5G59160	Potri.009G037700
AT4G11240	Potri.016G142700
AT2G39840	Potri.010G197600
AT5G35910	Potri.019G038701
AT4G32250	Potri.018G026400
AT1G80410	Potri.003G056700
AT5G40860	Potri.010G058700
AT5G22300	Potri.016G074200
AT2G04530	Potri.014G160600
AT1G67060	Potri.015G045900
AT2G27100	Potri.009G158600
AT4G29330	Potri.006G153000
AT2G27880	Potri.009G001500
AT1G72880	Potri.003G041000
AT4G13750	Potri.001G317200
AT5G64780	Potri.005G196400
AT2G30120	Potri.001G281400
AT5G40460	Potri.017G070000
AT4G31000	Potri.018G111200
AT5G26920	Potri.013G010700
AT1G77390	Potri.005G181400
AT1G27440	Potri.003G162000
AT5G43150	Potri.002G119700
AT4G27720	Potri.015G008100
AT3G04800	Potri.013G039200
AT5G61780	Potri.015G109300
AT2G46700	Potri.014G103500
AT3G19100	Potri.009G105700
AT3G56760	Potri.016G035500
AT5G22790	Potri.009G150400
AT4G14860	Potri.010G087200
AT2G32100	Potri.005G211300
AT4G10040	Potri.019G076101
AT3G60410	Potri.014G044800
AT5G43420	Potri.010G072700
AT5G54170	Potri.015G005000
AT5G44060	Potri.010G068800
AT5G03795	Potri.006G118000
AT3G07620	Potri.014G170900
AT5G33290	Potri.T124707
AT5G57020	Potri.018G066200
AT5G49525	Potri.013G007500
AT5G47040	Potri.003G086000
AT1G64890	Potri.019G043000
AT2G33280	Potri.010G063800
AT5G04150	Potri.016G037300
AT3G23123	Potri.019G013000
AT4G14080	Potri.017G060300
AT3G07320	Potri.002G247900
AT3G15358	Potri.011G119200
AT4G38260	Potri.004G206300
AT2G07680	Potri.003G182601
AT4G38320	Potri.014G006000
AT5G64667	Potri.013G074000
AT1G48580	Potri.012G047000
AT4G35620	Potri.005G100000
AT2G26760	Potri.009G066600
AT1G16330	Potri.010G173200
AT5G12390	Potri.009G047300
AT3G48560	Potri.015G097200
AT5G57690	Potri.018G096700
AT3G51090	Potri.007G016300
AT2G22570	Potri.005G147400
AT3G24715	Potri.003G176100
AT2G36130	Potri.016G075600
AT5G51950	Potri.012G135200
AT5G28780	Potri.012G073100
AT5G39970	Potri.017G075800
AT5G63030	Potri.015G078900
AT1G69030	Potri.010G137900
AT4G04920	Potri.011G049700
AT5G04260	Potri.010G225701
AT5G19860	Potri.003G217300
AT5G43240	Potri.001G247300
AT5G56050	Potri.011G165500
AT4G18260	Potri.011G080400
AT4G31340	Potri.018G003700
AT1G52920	Potri.011G122300
AT2G20770	Potri.013G134700
AT4G30420	Potri.018G099601
AT2G06520	Potri.018G065200
AT4G36550	Potri.007G023700
AT3G11030	Potri.010G184000
AT1G59960	Potri.008G193100
AT5G52900	Potri.015G026600
AT3G09320	Potri.016G100200
AT3G24420	Potri.016G062700
AT1G50920	Potri.009G054000
AT5G38970	Potri.017G099000
AT1G80670	Potri.003G180000
AT3G18850	Potri.T125204
AT1G75020	Potri.014G040600
AT5G14230	Potri.011G151300
AT4G19120	Potri.003G102400
AT5G13440	Potri.003G162200
AT5G16870	Potri.019G050100
AT4G32900	Potri.006G237900
AT4G37900	Potri.015G042800
AT5G34780	Potri.005G185400
AT5G09300	Potri.005G064000
AT5G01225	Potri.016G112700
AT5G24450	Potri.017G007200
AT5G48920	Potri.007G108100
AT1G70680	Potri.008G133800
AT2G15680	Potri.009G102500
AT5G36210	Potri.002G128700
AT2G04240	Potri.014G170400
AT3G47940	Potri.015G066100
AT1G59725	Potri.010G035000
AT5G25530	Potri.018G034600
AT3G55530	Potri.010G201500
AT4G37690	Potri.014G006100
AT3G52500	Potri.016G071900
AT4G38250	Potri.009G167900
AT1G71450	Potri.019G075500
AT1G10385	Potri.016G063700
AT5G49830	Potri.010G249900
AT3G19340	Potri.014G144300
AT5G13940	Potri.014G144500
AT4G30300	Potri.004G235900
AT5G06440	Potri.016G067000
AT5G67500	Potri.014G016300
AT1G14130	Potri.011G146600
AT5G49460	Potri.010G145832
AT5G11510	Potri.018G038000
AT3G14595	Potri.001G380200
AT5G09790	Potri.007G109900
AT1G80930	Potri.016G121100
AT1G09880	Potri.002G110100
AT1G09910	Potri.005G151500
AT4G24430	Potri.002G110300
AT2G27920	Potri.009G003100
AT1G77760	Potri.005G172400
AT3G55960	Potri.016G116700
AT4G28190	Potri.019G104500
