Gene,Arabidopsis,best_arabi_defline
Potri.002G224900,AT2G32970,
Potri.002G225100,AT2G32980,(1 of 1) PF15003 - HAUS augmin-like complex subunit 2 (HAUS2)
Potri.002G225200,,
Potri.002G225400,,
Potri.002G225500,AT3G21670,Major facilitator superfamily protein
Potri.002G225500,AT3G21670,Major facilitator superfamily protein
Potri.002G225600,AT5G55140,ribosomal protein L30 family protein
Potri.002G225700,,
Potri.002G225800,AT4G15410,serine/threonine protein phosphatase 2A 55 kDa regulatory subunit B prime gamma
Potri.002G226000,,
Potri.002G226200,AT4G15415,Protein phosphatase 2A regulatory B subunit family protein
Potri.002G226300,AT1G05065,CLAVATA3/ESR-RELATED 20
Potri.002G226400,,
Potri.002G226600,AT3G21630,chitin elicitor receptor kinase 1
Potri.002G226700,AT4G15417,RNAse II-like 1
Potri.002G226800,AT3G21620,ERD (early-responsive to dehydration stress) family protein
Potri.002G226800,AT3G21620,ERD (early-responsive to dehydration stress) family protein
Potri.002G226900,,
Potri.002G227000,,
Potri.002G227100,AT1G05070,Protein of unknown function (DUF1068)
Potri.002G227200,AT1G05090,dentin sialophosphoprotein-related
Potri.002G227300,AT4G15320,cellulose synthase-like B6
Potri.002G227500,,
Potri.002G227600,,
Potri.002G227701,,
Potri.002G227800,,
Potri.002G228000,,
Potri.002G228101,,
Potri.002G228200,AT2G32510,mitogen-activated protein kinase kinase kinase 17
Potri.002G228300,,
Potri.002G228300,,
Potri.002G228400,,
Potri.002G228600,AT1G05140,Peptidase M50 family protein
Potri.002G228700,AT2G32460,myb domain protein 101
Potri.002G228700,AT2G32460,myb domain protein 101
Potri.002G228800,AT1G62040,Ubiquitin-like superfamily protein
Potri.002G228900,AT2G32430,Galactosyltransferase family protein
Potri.002G228900,AT2G32430,Galactosyltransferase family protein
Potri.002G229000,AT2G32415,"Polynucleotidyl transferase, ribonuclease H fold protein with HRDC domain"
Potri.002G229000,AT2G32415,"Polynucleotidyl transferase, ribonuclease H fold protein with HRDC domain"
Potri.002G229000,AT2G32415,"Polynucleotidyl transferase, ribonuclease H fold protein with HRDC domain"
Potri.002G229100,AT1G05180,NAD(P)-binding Rossmann-fold superfamily protein
Potri.002G229200,AT2G05710,aconitase 3
Potri.002G229200,AT2G05710,aconitase 3
Potri.002G229200,AT2G05710,aconitase 3
Potri.002G229200,AT2G05710,aconitase 3
Potri.002G229300,AT3G21680,(1 of 3) PTHR33148:SF2 - EMB
Potri.002G229325,,
Potri.002G229350,,
Potri.002G229350,,
Potri.002G229600,AT1G52970,downregulated in DIF1 11
Potri.002G229650,AT1G52970,downregulated in DIF1 11
Potri.002G229700,AT1G52970,downregulated in DIF1 11
Potri.002G229750,AT1G52970,downregulated in DIF1 11
Potri.002G229900,AT2G32400,glutamate receptor 5
Potri.002G230000,AT1G05200,glutamate receptor 3.4
Potri.002G230000,AT1G05200,glutamate receptor 3.4
Potri.002G230000,AT1G05200,glutamate receptor 3.4
Potri.002G230000,AT1G05200,glutamate receptor 3.4
Potri.002G230000,AT1G05200,glutamate receptor 3.4
Potri.002G230100,,
Potri.002G230200,AT1G05230,homeodomain GLABROUS 2
Potri.002G230200,AT1G05230,homeodomain GLABROUS 2
Potri.002G230200,AT1G05230,homeodomain GLABROUS 2
Potri.002G230200,AT1G05230,homeodomain GLABROUS 2
Potri.002G230200,AT1G05230,homeodomain GLABROUS 2
Potri.002G230200,AT1G05230,homeodomain GLABROUS 2
Potri.002G230200,AT1G05230,homeodomain GLABROUS 2
Potri.002G230200,AT1G05230,homeodomain GLABROUS 2
Potri.002G230200,AT1G05230,homeodomain GLABROUS 2
Potri.002G230200,AT1G05230,homeodomain GLABROUS 2
Potri.002G230300,AT3G21710,"(1 of 2) PTHR33974:SF2 - GENOMIC DNA, CHROMOSOME 3, P1 CLONE: MSD21"
Potri.002G230300,AT3G21710,"(1 of 2) PTHR33974:SF2 - GENOMIC DNA, CHROMOSOME 3, P1 CLONE: MSD21"
Potri.002G230400,,
Potri.002G230600,AT3G59320,Eukaryotic protein of unknown function (DUF914)
Potri.002G230600,AT3G59320,Eukaryotic protein of unknown function (DUF914)
Potri.002G230700,AT3G59300,Pentatricopeptide repeat (PPR) superfamily protein
Potri.002G230700,AT3G59300,Pentatricopeptide repeat (PPR) superfamily protein
Potri.002G230800,AT2G47980,sister-chromatid cohesion protein 3
Potri.002G230900,AT5G48040,Ubiquitin carboxyl-terminal hydrolase family protein
Potri.002G230900,AT5G48040,Ubiquitin carboxyl-terminal hydrolase family protein
Potri.002G231000,AT2G43180,Phosphoenolpyruvate carboxylase family protein
Potri.002G231100,AT3G59290,ENTH/VHS family protein
Potri.002G231100,AT3G59290,ENTH/VHS family protein
Potri.002G231100,AT3G59290,ENTH/VHS family protein
Potri.002G231100,AT3G59290,ENTH/VHS family protein
Potri.002G231100,AT3G59290,ENTH/VHS family protein
Potri.002G231250,,
Potri.002G231250,,
Potri.002G231250,,
Potri.002G231250,,
Potri.002G231400,,
Potri.002G231450,,
Potri.002G231501,,
Potri.002G231534,,
Potri.002G231567,,
Potri.002G231600,AT1G05800,alpha/beta-Hydrolases superfamily protein
Potri.002G231700,AT1G05805,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Potri.002G231800,AT1G05810,RAB GTPase homolog A5E
Potri.002G231900,AT2G43120,RmlC-like cupins superfamily protein
Potri.002G232100,AT2G43080,P4H isoform 1
Potri.002G232200,AT2G43070,SIGNAL PEPTIDE PEPTIDASE-LIKE 3
Potri.002G232500,AT2G43060,ILI1 binding bHLH 1
Potri.002G232600,AT2G31660,ARM repeat superfamily protein
Potri.002G232700,AT4G14180,putative recombination initiation defect 1
Potri.002G232800,AT2G31650,homologue of trithorax
Potri.002G233000,AT1G05835,PHD finger protein
Potri.002G233100,AT5G16740,Transmembrane amino acid transporter family protein
Potri.002G233200,AT5G16740,Transmembrane amino acid transporter family protein
Potri.002G233200,AT5G16740,Transmembrane amino acid transporter family protein
Potri.002G233300,AT2G32320,tRNAHis guanylyltransferase
Potri.002G233400,AT5G16490,ROP-interactive CRIB motif-containing protein 4
Potri.002G233500,AT1G10840,translation initiation factor 3 subunit H1
Potri.002G233600,AT3G28040,Leucine-rich receptor-like protein kinase family protein
Potri.002G233700,,
Potri.002G233700,,
Potri.002G233700,,
Potri.002G233800,AT1G48360,"zinc ion binding;nucleic acid binding;hydrolases, acting on acid anhydrides, in phosphorus-containing anhydrides"
Potri.002G233900,AT5G62990,Ubiquitin carboxyl-terminal hydrolase family protein
Potri.002G234000,AT1G60680,NAD(P)-linked oxidoreductase superfamily protein
Potri.002G234201,AT1G60680,NAD(P)-linked oxidoreductase superfamily protein
Potri.002G234400,AT1G19800,trigalactosyldiacylglycerol 1
Potri.002G234400,AT1G19800,trigalactosyldiacylglycerol 1
Potri.002G234500,AT5G26570,"catalytics;carbohydrate kinases;phosphoglucan, water dikinases"
Potri.002G234600,,
Potri.002G234700,,
Potri.002G234700,,
Potri.002G234700,,
Potri.002G234850,,
Potri.002G235000,AT3G25400,(1 of 1) 3.6.1.12 - dCTP diphosphatase / Deoxycytidine-triphosphatase
Potri.002G235000,AT3G25400,(1 of 1) 3.6.1.12 - dCTP diphosphatase / Deoxycytidine-triphosphatase
Potri.002G235101,AT3G14362,ROTUNDIFOLIA like 10
Potri.002G235200,AT4G14210,phytoene desaturase 3
Potri.002G235400,AT3G07340,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Potri.002G235500,AT4G14150,phragmoplast-associated kinesin-related protein 1
Potri.002G235500,AT4G14150,phragmoplast-associated kinesin-related protein 1
Potri.002G235500,AT4G14150,phragmoplast-associated kinesin-related protein 1
Potri.002G235550,,
Potri.002G235600,,
Potri.002G235700,AT5G42390,Insulinase (Peptidase family M16) family protein
Potri.002G235700,AT5G42390,Insulinase (Peptidase family M16) family protein
Potri.002G235700,AT5G42390,Insulinase (Peptidase family M16) family protein
Potri.002G235700,AT5G42390,Insulinase (Peptidase family M16) family protein
Potri.002G235800,AT2G31980,PHYTOCYSTATIN 2
Potri.002G235900,AT4G14200,Pentatricopeptide repeat (PPR) superfamily protein
Potri.002G235950,,
Potri.002G236000,AT3G23710,Tic22-like family protein
Potri.002G236200,AT4G14130,xyloglucan endotransglucosylase/hydrolase 15
Potri.002G236200,AT4G14130,xyloglucan endotransglucosylase/hydrolase 15
Potri.002G236300,,
Potri.002G236400,AT4G15550,indole-3-acetate beta-D-glucosyltransferase
Potri.002G236500,AT4G15550,indole-3-acetate beta-D-glucosyltransferase
Potri.002G236600,AT3G26780,Phosphoglycerate mutase family protein
Potri.002G236700,AT3G26770,NAD(P)-binding Rossmann-fold superfamily protein
Potri.002G236800,AT5G14060,Aspartate kinase family protein
Potri.002G236800,AT5G14060,Aspartate kinase family protein
Potri.002G236800,AT5G14060,Aspartate kinase family protein
Potri.002G236800,AT5G14060,Aspartate kinase family protein
Potri.002G236800,AT5G14060,Aspartate kinase family protein
Potri.002G237000,AT2G31410,
Potri.002G237000,AT2G31410,
Potri.002G237100,AT3G02010,Pentatricopeptide repeat (PPR) superfamily protein
Potri.002G237200,AT5G13890,Family of unknown function (DUF716)
Potri.002G237400,AT3G02060,"DEAD/DEAH box helicase, putative"
Potri.002G237400,AT3G02060,"DEAD/DEAH box helicase, putative"
Potri.002G237500,AT3G02050,K+ uptake transporter 3
Potri.002G237500,AT3G02050,K+ uptake transporter 3
Potri.002G237600,AT3G26700,Protein kinase superfamily protein
Potri.002G237700,AT3G19340,Protein of unknown function (DUF3754)
Potri.002G237700,AT3G19340,Protein of unknown function (DUF3754)
Potri.002G237800,AT5G13950,(1 of 1) PTHR13052//PTHR13052:SF2 - NFRKB-RELATED
Potri.002G237800,AT5G13950,(1 of 1) PTHR13052//PTHR13052:SF2 - NFRKB-RELATED
Potri.002G237800,AT5G13950,(1 of 1) PTHR13052//PTHR13052:SF2 - NFRKB-RELATED
Potri.002G237800,AT5G13950,(1 of 1) PTHR13052//PTHR13052:SF2 - NFRKB-RELATED
Potri.002G237950,AT5G13960,SU(VAR)3-9 homolog 4
Potri.002G238100,AT5G13970,(1 of 2) PTHR13445:SF3 - PROTEIN TSSC4
Potri.002G238200,AT3G26720,Glycosyl hydrolase family 38 protein
Potri.002G238200,AT3G26720,Glycosyl hydrolase family 38 protein
Potri.002G238300,AT5G58220,transthyretin-like protein
Potri.002G238300,AT5G58220,transthyretin-like protein
Potri.002G238300,AT5G58220,transthyretin-like protein
Potri.002G238500,,
Potri.002G238600,AT3G07020,UDP-Glycosyltransferase superfamily protein
Potri.002G238700,AT5G48890,C2H2-like zinc finger protein
Potri.002G238800,AT5G48900,Pectin lyase-like superfamily protein
Potri.002G238800,AT5G48900,Pectin lyase-like superfamily protein
Potri.002G238800,AT5G48900,Pectin lyase-like superfamily protein
Potri.002G238900,AT3G07460,"Protein of unknown function, DUF538"
Potri.002G239000,AT3G07480,2Fe-2S ferredoxin-like superfamily protein
Potri.002G239100,AT3G07490,ARF-GAP domain 11
Potri.002G239300,,
Potri.002G239400,AT4G12850,Far-red impaired responsive (FAR1) family protein
Potri.002G239400,AT4G12850,Far-red impaired responsive (FAR1) family protein
Potri.002G239451,,
Potri.002G239451,,
Potri.002G239500,AT3G07510,
Potri.002G239600,AT5G59200,Tetratricopeptide repeat (TPR)-like superfamily protein
Potri.002G239700,AT4G12800,photosystem I subunit l
Potri.002G239800,AT3G25480,Rhodanese/Cell cycle control phosphatase superfamily protein
Potri.002G239900,AT5G48385,FRIGIDA-like protein
Potri.002G239900,AT5G48385,FRIGIDA-like protein
Potri.002G239900,AT5G48385,FRIGIDA-like protein
Potri.002G240000,AT5G48380,BAK1-interacting receptor-like kinase 1
Potri.002G240000,AT5G48380,BAK1-interacting receptor-like kinase 1
Potri.002G240100,AT5G48370,Thioesterase/thiol ester dehydrase-isomerase superfamily protein
Potri.002G240232,AT3G25500,formin homology 1
Potri.002G240232,AT3G25500,formin homology 1
Potri.002G240300,,
Potri.002G240300,,
Potri.002G240300,,
Potri.002G240601,,
Potri.002G240601,,
Potri.002G240700,AT5G48850,Tetratricopeptide repeat (TPR)-like superfamily protein
Potri.002G240800,AT5G48840,homolog of bacterial PANC
Potri.002G240800,AT5G48840,homolog of bacterial PANC
Potri.002G240900,,
Potri.002G241000,AT4G13200,
Potri.002G241000,AT4G13200,
Potri.002G241100,AT3G07050,GTP-binding family protein
Potri.002G241100,AT3G07050,GTP-binding family protein
Potri.002G241100,AT3G07050,GTP-binding family protein
Potri.002G241100,AT3G07050,GTP-binding family protein
Potri.002G241200,AT5G48830,(1 of 1) PF12452 - Protein of unknown function (DUF3685) (DUF3685)
Potri.002G241200,AT5G48830,(1 of 1) PF12452 - Protein of unknown function (DUF3685) (DUF3685)
Potri.002G241200,AT5G48830,(1 of 1) PF12452 - Protein of unknown function (DUF3685) (DUF3685)
Potri.002G241300,AT4G13195,CLAVATA3/ESR-RELATED 44
Potri.002G241366,AT3G07060,NHL domain-containing protein
Potri.002G241500,,
Potri.002G241600,AT3G07070,Protein kinase superfamily protein
Potri.002G241700,AT3G07090,PPPDE putative thiol peptidase family protein
Potri.002G241700,AT3G07090,PPPDE putative thiol peptidase family protein
Potri.002G241800,,
Potri.002G241800,,
Potri.002G241900,AT3G24800,proteolysis 1
Potri.002G242000,,
Potri.002G242100,AT5G48820,inhibitor/interactor with cyclin-dependent kinase
Potri.002G242200,AT3G24820,BSD domain-containing protein
Potri.002G242300,AT5G48800,Phototropic-responsive NPH3 family protein
Potri.002G242300,AT5G48800,Phototropic-responsive NPH3 family protein
Potri.002G242300,AT5G48800,Phototropic-responsive NPH3 family protein
Potri.002G242400,,
Potri.002G242500,,
Potri.002G242600,,
Potri.002G242700,AT5G48740,Leucine-rich repeat protein kinase family protein
Potri.002G242700,AT5G48740,Leucine-rich repeat protein kinase family protein
Potri.002G242800,AT4G13150,(1 of 1) PTHR30353 - INNER MEMBRANE PROTEIN DEDA-RELATED
Potri.002G242900,,
Potri.002G242900,,
Potri.002G243000,AT3G24840,Sec14p-like phosphatidylinositol transfer family protein
Potri.002G243000,AT3G24840,Sec14p-like phosphatidylinositol transfer family protein
Potri.002G243300,AT3G24860,Homeodomain-like superfamily protein
Potri.002G243350,,
Potri.002G243350,,
Potri.002G243350,,
Potri.002G243400,AT3G24880,"Helicase/SANT-associated, DNA binding protein"
Potri.002G243500,AT2G34470,urease accessory protein G
Potri.002G243500,AT2G34470,urease accessory protein G
Potri.002G243600,AT5G48730,Pentatricopeptide repeat (PPR) superfamily protein
Potri.002G243700,AT2G34470,urease accessory protein G
Potri.002G243700,AT2G34470,urease accessory protein G
Potri.002G243800,AT3G07120,RING/U-box superfamily protein
Potri.002G243900,AT3G07130,purple acid phosphatase 15
Potri.002G244000,AT5G48720,x-ray induced transcript 1
Potri.002G244200,AT4G13080,xyloglucan endotransglucosylase/hydrolase 1
Potri.002G244400,AT3G07150,
Potri.002G244500,,
Potri.002G244500,,
Potri.002G244600,,
Potri.002G244600,,
Potri.002G244700,AT5G48680,Sterile alpha motif (SAM) domain-containing protein
Potri.002G244801,,
Potri.002G244900,AT1G06440,Ubiquitin carboxyl-terminal hydrolase family protein
Potri.002G244900,AT1G06440,Ubiquitin carboxyl-terminal hydrolase family protein
Potri.002G245000,AT3G07180,GPI transamidase component PIG-S-related
Potri.002G245100,AT1G06440,Ubiquitin carboxyl-terminal hydrolase family protein
Potri.002G245200,AT3G25060,Tetratricopeptide repeat (TPR)-like superfamily protein
Potri.002G245300,AT3G07190,B-cell receptor-associated protein 31-like
Potri.002G245400,AT3G25070,RPM1 interacting protein 4
Potri.002G245400,AT3G25070,RPM1 interacting protein 4
Potri.002G245500,AT5G48655,RING/U-box superfamily protein
Potri.002G245500,AT5G48655,RING/U-box superfamily protein
Potri.002G245600,AT4G13050,Acyl-ACP thioesterase
Potri.002G245700,AT3G07210,
Potri.002G245800,AT1G48140,dolichol-phosphate mannosyltransferase-related
Potri.002G245800,AT1G48140,dolichol-phosphate mannosyltransferase-related
Potri.002G245900,AT3G07220,SMAD/FHA domain-containing protein
Potri.002G245900,AT3G07220,SMAD/FHA domain-containing protein
Potri.002G246000,AT3G25120,Mitochondrial import inner membrane translocase subunit Tim17/Tim22/Tim23 family protein
Potri.002G246100,AT4G13040,Integrase-type DNA-binding superfamily protein
Potri.002G246100,AT4G13040,Integrase-type DNA-binding superfamily protein
Potri.002G246100,AT4G13040,Integrase-type DNA-binding superfamily protein
Potri.002G246300,AT3G07230,wound-responsive protein-related
Potri.002G246400,AT3G25130,"(1 of 1) PTHR36760:SF1 - GENOMIC DNA, CHROMOSOME 3, P1 CLONE: MJL12"
Potri.002G246500,AT3G25140,Nucleotide-diphospho-sugar transferases superfamily protein
Potri.002G246600,AT3G25150,Nuclear transport factor 2 (NTF2) family protein with RNA binding (RRM-RBD-RNP motifs) domain
Potri.002G246600,AT3G25150,Nuclear transport factor 2 (NTF2) family protein with RNA binding (RRM-RBD-RNP motifs) domain
Potri.002G246700,AT3G25160,ER lumen protein retaining receptor family protein
Potri.002G246800,AT5G48640,Cyclin family protein
Potri.002G246900,,
Potri.002G247100,AT3G07270,GTP cyclohydrolase I
Potri.002G247200,,
Potri.002G247400,AT4G13030,P-loop containing nucleoside triphosphate hydrolases superfamily protein
Potri.002G247500,AT4G13020,Protein kinase superfamily protein
Potri.002G247500,AT4G13020,Protein kinase superfamily protein
Potri.002G247500,AT4G13020,Protein kinase superfamily protein
Potri.002G247600,,
Potri.002G247700,AT5G48590,Protein of unknown function (DUF760)
Potri.002G247700,AT5G48590,Protein of unknown function (DUF760)
Potri.002G247800,AT3G07320,O-Glycosyl hydrolases family 17 protein
Potri.002G247900,AT3G07320,O-Glycosyl hydrolases family 17 protein
Potri.002G247900,AT3G07320,O-Glycosyl hydrolases family 17 protein
Potri.002G248000,,
Potri.002G248100,AT3G25210,Tetratricopeptide repeat (TPR)-like superfamily protein
Potri.002G248200,AT3G25220,FK506-binding protein 15 kD-1
Potri.002G248300,AT3G25230,rotamase FKBP 1
Potri.002G248300,AT3G25230,rotamase FKBP 1
Potri.002G248400,AT3G07330,Cellulose-synthase-like C6
Potri.002G248500,AT3G07340,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Potri.002G248600,AT3G07360,plant U-box 9
Potri.002G248700,AT3G07370,carboxyl terminus of HSC70-interacting protein
Potri.002G248800,AT5G48545,histidine triad nucleotide-binding 3
Potri.002G248900,AT4G13000,"AGC (cAMP-dependent, cGMP-dependent and protein kinase C) kinase family protein"
Potri.002G249000,AT5G46430,Ribosomal protein L32e
Potri.002G249000,AT5G46430,Ribosomal protein L32e
Potri.002G249100,AT3G25260,Major facilitator superfamily protein
Potri.002G249100,AT3G25260,Major facilitator superfamily protein
Potri.002G249100,AT3G25260,Major facilitator superfamily protein
Potri.002G249100,AT3G25260,Major facilitator superfamily protein
Potri.002G249200,AT3G07390,auxin-responsive family protein
Potri.002G249300,AT4G12980,Auxin-responsive family protein
Potri.002G249400,AT3G07400,lipase class 3 family protein
Potri.002G249500,,
Potri.002G249550,,
Potri.002G249600,AT5G48540,receptor-like protein kinase-related family protein
Potri.002G249700,AT3G07420,asparaginyl-tRNA synthetase 2
Potri.002G249901,AT4G12970,stomagen
Potri.002G250000,,
Potri.002G250100,AT3G07425,
Potri.002G250200,AT4G27990,YGGT family protein
Potri.002G250400,AT2G26470,(1 of 1) PTHR13604 - DC12-RELATED
Potri.002G250500,AT5G48530,(1 of 2) PTHR36031:SF1 - F21O3.15 PROTEIN
Potri.002G250700,AT3G56500,serine-rich protein-related
Potri.002G250800,AT5G48500,
Potri.002G250800,AT5G48500,
Potri.002G250900,,
Potri.002G251000,AT5G48485,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
Potri.002G251200,AT5G48480,Lactoylglutathione lyase / glyoxalase I family protein
Potri.002G251300,,
Potri.002G251400,AT5G48470,
Potri.002G251600,AT5G48460,Actin binding Calponin homology (CH) domain-containing protein
Potri.002G251700,AT3G24660,transmembrane kinase-like 1
Potri.002G251800,AT4G13220,
Potri.002G252000,AT3G24650,AP2/B3-like transcriptional factor family protein
Potri.002G252000,AT3G24650,AP2/B3-like transcriptional factor family protein
Potri.002G252050,,
Potri.002G252100,AT4G13230,Late embryogenesis abundant protein (LEA) family protein
Potri.002G252200,,
Potri.002G252400,,
Potri.002G252500,AT4G29035,Plant self-incompatibility protein S1 family
Potri.002G252600,AT2G20140,AAA-type ATPase family protein
Potri.002G252700,AT4G28820,HIT-type Zinc finger family protein
Potri.002G252800,AT2G20180,phytochrome interacting factor 3-like 5
Potri.002G252800,AT2G20180,phytochrome interacting factor 3-like 5
Potri.002G252800,AT2G20180,phytochrome interacting factor 3-like 5
Potri.002G252800,AT2G20180,phytochrome interacting factor 3-like 5
Potri.002G252800,AT2G20180,phytochrome interacting factor 3-like 5
Potri.002G252900,,
Potri.002G253000,AT5G26594,response regulator 24
Potri.002G253100,,
Potri.002G253200,AT2G20190,CLIP-associated protein
Potri.002G253200,AT2G20190,CLIP-associated protein
Potri.002G253400,AT4G28780,GDSL-like Lipase/Acylhydrolase superfamily protein
Potri.002G253500,AT2G20230,Tetraspanin family protein
Potri.002G253600,AT4G28760,Protein of unknown function (DUF3741)
Potri.002G253600,AT4G28760,Protein of unknown function (DUF3741)
Potri.002G253600,AT4G28760,Protein of unknown function (DUF3741)
Potri.002G253600,AT4G28760,Protein of unknown function (DUF3741)
Potri.002G253600,AT4G28760,Protein of unknown function (DUF3741)
Potri.002G253701,,
Potri.002G253800,AT2G20260,photosystem I subunit E-2
Potri.002G254000,,
Potri.002G254100,AT4G28730,Glutaredoxin family protein
Potri.002G254200,AT4G28720,Flavin-binding monooxygenase family protein
Potri.002G254300,AT1G04160,myosin XI B
Potri.002G254300,AT1G04160,myosin XI B
Potri.002G254300,AT1G04160,myosin XI B
Potri.002G254300,AT1G04160,myosin XI B
Potri.002G254300,AT1G04160,myosin XI B
Potri.002G254300,AT1G04160,myosin XI B
Potri.002G254400,AT1G04150,C2 calcium/lipid-binding plant phosphoribosyltransferase family protein
Potri.002G254500,AT4G28706,pfkB-like carbohydrate kinase family protein
Potri.002G254600,AT2G20300,Protein kinase superfamily protein
Potri.002G254700,AT5G43930,Transducin family protein / WD-40 repeat family protein
Potri.002G254700,AT5G43930,Transducin family protein / WD-40 repeat family protein
Potri.002G254700,AT5G43930,Transducin family protein / WD-40 repeat family protein
Potri.002G254700,AT5G43930,Transducin family protein / WD-40 repeat family protein
Potri.002G254800,AT3G04300,RmlC-like cupins superfamily protein
Potri.002G254900,AT5G43940,GroES-like zinc-binding dehydrogenase family protein
Potri.002G255000,AT4G28700,ammonium transporter 1;4
Potri.002G255100,AT4G28700,ammonium transporter 1;4
Potri.002G255300,AT1G04130,Tetratricopeptide repeat (TPR)-like superfamily protein
Potri.002G255400,AT2G20310,RPM1 interacting protein 13
Potri.002G255400,AT2G20310,RPM1 interacting protein 13
Potri.002G255400,AT2G20310,RPM1 interacting protein 13
Potri.002G255500,AT2G20320,DENN (AEX-3) domain-containing protein
Potri.002G255600,AT2G20340,Pyridoxal phosphate (PLP)-dependent transferases superfamily protein
Potri.002G255700,AT5G40120,AGAMOUS-like 76
Potri.002G255800,AT1G04120,multidrug resistance-associated protein 5
Potri.002G255800,AT1G04120,multidrug resistance-associated protein 5
Potri.002G255900,AT2G20360,NAD(P)-binding Rossmann-fold superfamily protein
Potri.002G256001,,
Potri.002G256001,,
Potri.002G256001,,
Potri.002G256100,AT2G20362,
Potri.002G256200,AT2G20370,Exostosin family protein
Potri.002G256200,AT2G20370,Exostosin family protein
Potri.002G256300,AT1G04110,Subtilase family protein
Potri.002G256400,AT4G28660,photosystem II reaction center PSB28 protein
Potri.002G256500,AT4G28650,Leucine-rich repeat transmembrane protein kinase family protein
Potri.002G256600,AT4G28640,indole-3-acetic acid inducible 11
Potri.002G256600,AT4G28640,indole-3-acetic acid inducible 11
Potri.002G256600,AT4G28640,indole-3-acetic acid inducible 11
Potri.002G256700,AT2G20390,(1 of 1) PF08695 - Cytochrome oxidase complex assembly protein 1 (Coa1)
Potri.002G256802,,
Potri.002G256900,,
Potri.002G256900,,
Potri.002G257000,AT5G43960,Nuclear transport factor 2 (NTF2) family protein with RNA binding (RRM-RBD-RNP motifs) domain
Potri.002G257100,AT1G04080,Tetratricopeptide repeat (TPR)-like superfamily protein
Potri.002G257100,AT1G04080,Tetratricopeptide repeat (TPR)-like superfamily protein
Potri.002G257100,AT1G04080,Tetratricopeptide repeat (TPR)-like superfamily protein
Potri.002G257100,AT1G04080,Tetratricopeptide repeat (TPR)-like superfamily protein
Potri.002G257100,AT1G04080,Tetratricopeptide repeat (TPR)-like superfamily protein
Potri.002G257100,AT1G04080,Tetratricopeptide repeat (TPR)-like superfamily protein
Potri.002G257200,AT5G43970,translocase of outer membrane 22-V
Potri.002G257300,AT5G43980,plasmodesmata-located protein 1
Potri.002G257400,AT1G04050,homolog of SU(var)3-9 1
Potri.002G257400,AT1G04050,homolog of SU(var)3-9 1
Potri.002G257500,AT2G33370,Ribosomal protein L14p/L23e family protein
Potri.002G257600,,
Potri.002G257700,AT5G44020,"HAD superfamily, subfamily IIIB acid phosphatase"
Potri.002G257800,AT4G28610,phosphate starvation response  1
Potri.002G257800,AT4G28610,phosphate starvation response  1
Potri.002G257800,AT4G28610,phosphate starvation response  1
Potri.002G257900,AT5G44030,cellulose synthase A4
Potri.002G257900,AT5G44030,cellulose synthase A4
Potri.002G258000,,
Potri.002G258200,,
Potri.002G258400,,
Potri.002G258501,AT5G44040,
Potri.002G258501,AT5G44040,
Potri.002G258600,,
Potri.002G258700,,
Potri.002G258766,,
Potri.002G258832,,
Potri.002G258900,,
Potri.002G259000,AT1G04020,breast cancer associated RING 1
Potri.002G259200,,
Potri.002G259300,AT4G28600,no pollen germination related 2
Potri.002G259300,AT4G28600,no pollen germination related 2
Potri.002G259300,AT4G28600,no pollen germination related 2
Potri.002G259300,AT4G28600,no pollen germination related 2
Potri.002G259300,AT4G28600,no pollen germination related 2
Potri.002G259300,AT4G28600,no pollen germination related 2
Potri.002G259400,AT5G44060,(1 of 2) PTHR34657:SF2 - F21M11.6 PROTEIN-RELATED
Potri.002G259500,,
Potri.002G259600,AT2G20420,ATP citrate lyase (ACL) family protein
Potri.002G259700,,
Potri.002G259900,AT1G19450,Major facilitator superfamily protein
Potri.002G260000,,
Potri.002G260100,,
Potri.002G260100,,
Potri.002G260100,,
Potri.002G260100,,
Potri.002G260100,,
Potri.002G260300,AT5G42760,Leucine carboxyl methyltransferase
Potri.002G260300,AT5G42760,Leucine carboxyl methyltransferase
Potri.002G260401,,
Potri.002G260600,AT1G19430,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Potri.002G260700,AT1G75200,flavodoxin family protein / radical SAM domain-containing protein
Potri.002G260800,,
Potri.002G260900,AT1G19400,Erythronate-4-phosphate dehydrogenase family protein
Potri.002G261000,AT1G75170,Sec14p-like phosphatidylinositol transfer family protein
Potri.002G261000,AT1G75170,Sec14p-like phosphatidylinositol transfer family protein
Potri.002G261500,,
Potri.002G261700,AT5G42710,
Potri.002G261800,AT2G16230,O-Glycosyl hydrolases family 17 protein
Potri.002G261800,AT2G16230,O-Glycosyl hydrolases family 17 protein
Potri.002G261900,AT3G46940,DUTP-PYROPHOSPHATASE-LIKE 1
Potri.002G262101,,
Potri.002G262300,AT5G42950,GYF domain-containing protein
Potri.002G262300,AT5G42950,GYF domain-containing protein
Potri.002G262300,AT5G42950,GYF domain-containing protein
Potri.002G262300,AT5G42950,GYF domain-containing protein
Potri.002G262300,AT5G42950,GYF domain-containing protein
Potri.002G262300,AT5G42950,GYF domain-containing protein
